post_title,post_content,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_tel,post_email,post_website,toilets,shower,bbq,drinking_water,power_supply,sanitary_dump_station,dogs,tents,caravans
Roebuck Plains Rest Area,,,,,Australia,,-18.0141969,122.5953494,,,,,,,,,,,,
Roma Bassett Park Showgrounds,Maranoa Regional Council,,,,Australia,,-26.5535347,148.785612,,,,yes,yes,,,yes,,,yes,yes
Rooky's Retreat - For Sale.,,,,,Australia,,-17.3412787,144.9302484,,,,,,,,,,,,
Roper Valley East Rest Area,,,,,Australia,,-14.76139,134.18944,,,,,,,,,,,,
Rose Bay Park,,,,,Australia,,-41.29389,146.97222,,,,,,,,,,,,
Rosedale Royal Hotel & Caravan Park,,,,,Australia,,-24.62889,151.91639,,,,,,,,,,,,
Thora - Roses Park Rest Area,,,,,Australia,,-30.4258952,152.7790013,,,,yes,no,,no,no,no,,yes,yes
Rosevale Retreat Hotel,,,,,Australia,,-27.86194,152.47639,,,,,,,,,,,,
Ross Road Parking Bay,,,,,Australia,,-29.01722,115.93889,,,,,,,,,,,,
Rotoract Club Parking Area,,,,,Australia,,-37.74806,140.61056,,,,,,,,,,,,
Round Hill Rest Area,,,,,Australia,,-31.9375108,141.5181898,,,,yes,no,,,,,,,
Round Water Hole Rest Area,,,,,Australia,,-26.7229389,150.6668947,,,,no,,,,,,,yes,yes
Routh Creek Rest Area,,,,,Australia,,-18.311957,143.7767764,,,,yes,no,,,,,,,
Rowles Lagoon Conservation Park,,,,,Australia,,-30.4262482,120.863779,,,,,,,,,,,,
Roxby Downs,,,,,Australia,,-30.54722,136.94,,,,,,,,,,,,
Roy Hill Rest Area,,,,,Australia,,-22.66944,119.95028,,,,,,,,,,,,
Mount Hope Hotel,,,,,Australia,,-32.8401048,145.8790183,,,,,,,,,,,,
Royal Mail Hotel,,,,,Australia,,-34.93167,144.76222,,,,,,,,,,,,
Rudds Point Reserve,,,,,Australia,,-34.46722,145.44139,,,,,,,,,,,,
Rummery Park,,,,,Australia,,-28.598693,153.3782346,,,,,,,,,,,,
Russ Creek,,,,,Australia,,-16.04806,126.70111,,,,,,,,,,,,
Ryan Well Historical Reserve,,,,,Australia,,-22.7193765,133.3828081,,,,,,,,,,,,
S.S. Ellen Park,,,,,Australia,,-34.253623,140.6477935,,,,,,,,,,,,
Saddle Creek,,,,,Australia,,-15.9571044,129.5618147,,,,,,,,,,,,
Saddleworth Park,,,,,Australia,,-34.04722,138.79806,,,,,,,,,,,,
Saddleworth Rest Area,,,,,Australia,,-34.09806,138.77417,,,,,,,,,,,,
Sailing Club Picnic Area,,,,,Australia,,-32.27333,152.525,,,,,,,,,,,,
Saltwater Creek,,,,,Australia,,-37.16889,149.99944,,,,,,,,,,,,
Samford Showground,,,,,Australia,,-27.3700469,152.817835,,,,yes,yes,,,yes,,,,
Sandy Beach Camp,,,,,Australia,,-34.72111,146.46306,,,,,,,,,,,,
Sandy Beach Reserve,Junee Shire Council,,,,Australia,,-35.0683835,147.7394796,,,,yes,no,,,,,,yes,yes
Sandy Billabong Camping Area,,,,,Australia,,-12.90056,132.77361,,,,,,,,,,,,
Sandy Cape Recreational Park,,,,,Australia,,-30.1843878,114.9978552,,,,,,,,,,,,
Sandy Corner Rest Area,,,,,Australia,,-19.5709255,147.3373647,,,,yes,no,,,,,,,
Sandy Creek,,,,,Australia,,-31.7487613,147.7833006,,,,no,,,,,,,yes,yes
Sandy Point Reserve,Hay Shire Council,,,,Australia,,-34.5146827,144.8355861,,,,yes,no,,,,,,,
Sandy Way Rest Area,,,,,Australia,,-25.2218318,131.2312014,,,,,,,,,,,,
Sawtooth Gorge,,,,,Australia,,-18.425,127.82056,,,,,,,,,,,,
Scaddan Pioneer Park,,,,,Australia,,-33.4418308,121.7232984,,,,yes,no,,,,,,,
Trout Creek Camping Area,,,,,Australia,,-41.43722,148.22694,,,,,,,,,,,,
Sceale Bay Bush Camping,,,,,Australia,,-33.0159976,134.1969124,,,,,,,,,,,,
13k Peg Rest Area,,,,,Australia,,-31.6595018,129.1309177,,,,no,,,,,,,,
Scenic Lookout Parking Area,,,,,Australia,,-16.2577137,128.30569,,,,,,,,,,,,
School Point Campground,,,,,Australia,,-17.14833,145.61083,,,,,,,,,,,,
Schwagers Bore Picnic Area,,,,,Australia,,-30.6035523,149.315315,,,,,,,,,,,,
Scrubby Camp,,,,,Australia,,-27.66056,140.38417,,,,,,,,,,,,
Seal Creek Campground,,,,,Australia,,-33.914312,123.3343881,,,,,,,,,,,,
Seisia Holiday Park,,,,,Australia,,-10.8475,142.36806,,,,,,,,,,,,
Serpentine Chalet Bush Camping,,,,,Australia,,-23.75028,132.91556,,,,,,,,,,,,
Sharon Nature Park,,,,,Australia,,-24.88361,152.24278,,,,,,,,,,,,
Sheba Dams Reserve,Tamworth Regional Council,,,,Australia,,-31.498868,151.1962028,,,,yes,no,,,,,,yes,yes
Sheepstation Creek Campground,,,,,Australia,,-28.4131817,153.0231786,,,,,,,,,,,,
Shelley Beach Camping Area,,,,,Australia,,-35.10889,117.62944,,,https://www.westernaustralia.com/au/accommodation/shelley-beach-camp-at-west-cape-howe-national-park/56b26b5b7b935fbe730e9596,yes,no,,,,,,yes,no
Shelley Point,,,,,Australia,,-41.4341815,148.2733591,,,,,,,,,,,,
Wattle Point Camp Ground,,,,,Australia,,-35.13861,137.70222,,,,,,,,,,,,
Sheringa South Rest Area,,,,,Australia,,-33.9112743,135.2640808,,,,,,,,,,,,
Sherlock River,,,,,Australia,,-20.9446015,117.6128007,,,,,,,,,,,,
Shipwrights Point Regatta Ground,,,,,Australia,,-43.15861,146.97972,,,,,,,,,,,,
Shoalhaven Ski Park,,,,,Australia,,-34.87167,150.57,,,https://www.skipark.com.au/,,,,,,,,,
Silent Grove Camping Area,,,,,Australia,,-17.0668213,125.2482581,,,,yes,yes,,no,no,no,,yes,yes
Silver Plains Campground,,,,,Australia,,-42.0947874,147.1091143,,,,,,,,,,,,
Simeon Lord Park,,,,,Australia,,-26.9760849,152.3598247,,,,,,,,,,,yes,yes
Simpson Desert Oasis Roadhouse,,,,,Australia,,-24.3563549,139.4714782,,,,yes,yes,,,yes,,,,
Six Mile Creek Rest Area,,,,,Australia,,-26.23167,152.69694,,,,,,,,,,,,
